CHEMICAL,CAS#,Formula,MolecularWeight,C_atoms,Carbon_Fraction
2-Phenylphenol,90-43-7,C12H10O,170.21,12,84.68
2-[[(Heptadecafluorooctyl)sulfonyl]methylamino]ethyl acrylate,25268-77-3,C14H10F17NO4S,611.27,14,27.51
"3,3'-Dichlorobenzidine",91-94-1,C12H10Cl2N2,253.12,12,56.94
"3,3'-Dimethoxybenzidine",119-90-4,C14H16N2O2,244.29,14,68.83
"3,3'-Dimethylbenzidine",119-93-7,C14H16N2,212.29,14,79.21
"3,3-Dichloro-1,1,1,2,2-pentafluoropropane (HCFC-225ca)",422-56-0,C3HCl2F5,202.93,3,17.76
"3-Chloro-1,1,1-trifluoropropane (HCFC-253fb)",460-35-5,C3H4ClF3,132.51,3,27.19
3-Chloro-2-methyl-1-propene,563-47-3,C4H7Cl,90.55,4,53.06
3-Chloropropionitrile,542-76-7,C3H4ClN,89.52,3,40.25
3-Iodo-2-propynyl butylcarbamate,55406-53-6,C8H12INO2,281.09,8,34.18
"3-[[(Heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-1-propanaminium iodide",1652-63-7,C14H16F17IN2O2S,726.23,14,23.15
"4,4'-Diaminodiphenyl ether",101-80-4,C12H12N2O,200.24,12,71.98
"4,4'-Isopropylidenediphenol",80-05-7,C15H16O2,228.29,15,78.92
"4,4'-Methylenebis(2-chloroaniline)",101-14-4,C13H12Cl2N2,267.15,13,58.45
"4,4'-Methylenedianiline",101-77-9,C13H14N2,198.26,13,78.76
4-Aminoazobenzene,60-09-3,C12H11N3,197.24,12,73.07
4-Aminobiphenyl,92-67-1,C12H11N,169.22,12,85.17
4-Dimethylaminoazobenzene,60-11-7,C14H15N3,225.29,14,74.64
4-Nitrophenol,100-02-7,C6H5NO3,139.11,6,51.81
5-Nitro-o-toluidine,99-55-8,C7H8N2O2,152.15,7,55.26
Acetaldehyde,75-07-0,C2H4O,44.05,2,54.53
Acetamide,60-35-5,C2H5NO,59.07,2,40.67
Acetonitrile,75-05-8,C2H3N,41.05,2,58.52
Acetophenone,98-86-2,C8H8O,120.15,8,79.97
Benzene,71-43-2,C6H6,78.11,6,92.26
Benzidine,92-87-5,C12H12N2,184.24,12,78.23
"Benzo[g,h,i]perylene",191-24-2,C22H12,276.3,22,95.64
Benzoyl peroxide,94-36-0,C14H10O4,242.23,14,69.42
Biphenyl,92-52-4,C12H10,154.21,12,93.46
Bis(2-chloro-1-methylethyl) ether,108-60-1,C6H12Cl2O,171.06,6,42.13
Bis(2-chloroethoxy)methane,111-91-1,C5H10Cl2O2,173.03,5,34.71
Bis(2-chloroethyl) ether,111-44-4,C4H8Cl2O,143.01,4,33.59
Bis(chloromethyl) ether,542-88-1,C2H4Cl2O,114.96,2,20.9
Bromochlorodifluoromethane (Halon 1211),353-59-3,CBrClF2,165.36,1,7.26
Bromomethane,74-83-9,CH3Br,94.94,1,12.65
Bromotrifluoromethane (Halon 1301),75-63-8,CBrF3,148.91,1,8.07
